BRD.K82928847.001.04.7..2.5..HTS
BRD.K13167095.001.02.9..2.5..HTS
BRD.K17743125.001.08.4..2.5..HTS
BRD.K28537285.001.01.8..2.499968715..MTS004
BRD.K56957086.001.06.3..2.5..HTS
BRD.K11558771.001.13.9..2.5..HTS
BRD.K77908580.001.09.6..2.5..HTS
BRD.K13810148.311.03.2..2.5..HTS
BRD.K83837640.001.04.8..2.5..HTS
BRD.K45528773.001.06.4..2.5..HTS
BRD.K16485616.001.08.9..2.5..HTS
BRD.K70402238.001.02.8..2.5..HTS
BRD.K13169950.001.14.4..2.5..HTS
BRD.K02130563.001.11.4..2.5..HTS
BRD.K12867552.001.04.7..2.5..HTS
BRD.K88742110.001.07.9..2.5..HTS
BRD.K67102207.236.07.7..2.5..HTS
BRD.K11663430.001.02.3..2.5..HTS
BRD.K86687746.001.01.3..2.5..HTS
BRD.K28822270.001.01.1..2.5..HTS
BRD.K02389548.001.02.5..2.5..HTS
BRD.K61688984.001.02.9..2.5..HTS
BRD.K61397605.001.03.4..2.5..HTS
BRD.K86797399.001.05.1..2.55..HTS
BRD.K22503835.001.11.0..2.5..HTS
BRD.K05878375.236.05.7..2.5..HTS
BRD.K52313696.001.12.3..2.5..HTS
BRD.K68202742.001.16.5..2.63..HTS
BRD.K00627859.003.03.7..2.5..HTS
BRD.K41260949.236.16.8..2.5..HTS
BRD.K81418486.001.47.5..2.5..HTS
BRD.K73383190.001.03.1..2.5..HTS
BRD.K98203492.003.04.1..2.5..HTS
BRD.K76180386.001.01.6..2.5..HTS
BRD.K26349472.001.01.3..2.5..HTS
BRD.K77791657.001.01.1..2.5..HTS
BRD.K06182768.001.02.3..2.5..MTS004
BRD.K26818574.305.04.3..2.5..HTS
BRD.K72264770.001.03.2..2.5..MTS004
BRD.K69070623.003.01.7..2.5..HTS
BRD.K57754230.001.02.7..2.5..HTS
BRD.K26531771.001.01.4..2.5..HTS
BRD.K21867462.001.02.9..2.5..HTS
BRD.K21867462.001.02.9..2.5..HTS
BRD.K69577666.001.01.3..2.5..HTS
BRD.K11215326.001.03.7..2.31..HTS
BRD.K77428767.001.01.7..2.5..MTS004
BRD.K74236984.001.04.8..2.5..MTS004
BRD.K13060017.001.02.1..2.499994836..MTS004
BRD.K86856088.001.06.9..2.5..MTS004
BRD.K60130390.001.02.1..2.5..MTS004
BRD.K87465484.001.02.7..2.5..MTS004
BRD.K02988401.001.01.2..2.5..MTS004
BRD.K26989966.001.03.5..2.5..HTS
BRD.K26989966.001.03.5..2.5..HTS 
BRD.K03406345.001.27.8..2.5..HTS
BRD.K79254416.001.22.6..2.5..HTS
BRD.K18157228.001.01.7..2.5..HTS
BRD.K89391146.001.08.0..2.5..HTS
BRD.K61228301.001.01.2..2.5..HTS
BRD.K32744045.001.31.2..2.5..HTS
